"homeInjuries","visitingInjuries","homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
1,1,0.3,0.18181818181818182,-6,-4.36363636363636,0.125,0.25,0.14285714285714285,0.5,"HOME"
0.01,1,0.4166666666666667,0.5294117647058824,-1.25,-1.8235294117646959,0.375,0.625,0.3333333333333333,0.75,"HOME"
2,1,0.7272727272727273,0.8,6.545454545454547,8.900000000000006,0.875,0.75,1,0.7142857142857143,"HOME"
0.01,0.01,0.2,0.5454545454545454,-8.799999999999997,5,0.25,0.75,0,0.3333333333333333,"HOME"
0.01,0.01,0.36363636363636365,0.5,-6,-1.3999999999999915,0.375,0.5,0.5,0.5,"HOME"
0.01,2,0.7272727272727273,0.6666666666666666,4.454545454545453,2.7777777777777857,0.75,0.625,0.75,1,"HOME"
0.01,1,0.5,0.6,-2.1666666666666714,1.6000000000000085,0.5,0.625,0.6,0.6363636363636364,"VISITING"
2,2,0.5,0.75,-2.0833333333333286,6.5,0.5,0.875,0.75,0.5,"HOME"
2,1,0.6,0.7272727272727273,2.5999999999999943,7.545454545454547,0.625,0.75,0.75,0.8,"HOME"
1,2,0.36363636363636365,0.2727272727272727,-4,-5.545454545454547,0.25,0.25,0.14285714285714285,0.6,"HOME"
1,1,0.5,0.5833333333333334,-0.8333333333333286,-0.9166666666666714,0.625,0.625,0.5714285714285714,0.6666666666666666,"HOME"
1,2,0.16666666666666666,0.25,-5.333333333333329,-3.833333333333343,0.25,0.25,0.14285714285714285,0.25,"HOME"
0.01,2,0.4166666666666667,0.8,-1.0833333333333428,10.299999999999997,0.375,0.75,0.6666666666666666,0.5,"HOME"
0.01,1,0.46153846153846156,0.75,-0.538461538461533,5.083333333333329,0.5,0.625,0.8333333333333334,0.8,"VISITING"
1,0.01,0.8,0.5,7.6000000000000085,3.25,0.875,0.625,0,0.8,"HOME"
0.01,0.01,0.5,0.2727272727272727,1.1666666666666572,-6.545454545454547,0.625,0.375,0,1,"HOME"
0.01,0.01,0.45454545454545453,0.5,-3.7272727272727195,0.5,0.375,0.5,0.5,0.5,"HOME"
0.01,0.01,0.4166666666666667,0.47368421052631576,-3.25,-2.578947368421055,0.5,0.375,0.2857142857142857,0.5714285714285714,"HOME"
1,1,0.6363636363636364,0.6666666666666666,2.3636363636363598,6.083333333333343,0.625,0.75,0.6,0.6,"HOME"
0.01,2,0,0.45,-7,-2.5999999999999943,0,0.25,0.25,0,"VISITING"
2,1,0.6,0.45454545454545453,1.7999999999999972,0.18181818181817277,0.5,0.375,0.4,0.6,"VISITING"
0.01,1,0.75,0.25,4.666666666666657,-5.416666666666671,0.75,0.125,0.125,1,"HOME"
1,0.01,0.5384615384615384,0.46153846153846156,1.1538461538461604,2.384615384615387,0.375,0.625,0,0.7142857142857143,"VISITING"
1,0.01,0.5384615384615384,0.45454545454545453,-1.6923076923076792,-0.2727272727272805,0.5,0.375,0.4,0.6,"HOME"
0.01,0.01,0.25,0.5384615384615384,-6.166666666666657,1.2307692307692264,0.25,0.625,0.25,0.42857142857142855,"HOME"
1,2,0.5833333333333334,0.6923076923076923,-1.0833333333333428,5.384615384615387,0.625,0.75,0.6,0.5714285714285714,"VISITING"
1,2,0.4166666666666667,0.5384615384615384,-3.3333333333333286,-1.3076923076923066,0.375,0.625,0.5,0.6666666666666666,"VISITING"
2,0.01,0.6363636363636364,0.5,3.2727272727272663,-2.75,0.75,0.5,0.4,0.8333333333333334,"HOME"
1,0.01,0.5384615384615384,0.47619047619047616,0.0769230769230802,-2.380952380952394,0.625,0.375,0.3333333333333333,0.75,"HOME"
1,0.01,0.7272727272727273,0.23076923076923078,6.818181818181813,-4.84615384615384,0.625,0.375,0.125,1,"HOME"
2,1,0.23076923076923078,0.7692307692307693,-3.6153846153846274,5.230769230769241,0.25,0.75,0.8571428571428571,0.4,"VISITING"
1,0.01,0.5384615384615384,0.46153846153846156,-1.538461538461533,-2.7692307692307594,0.5,0.5,0.2,0.5,"HOME"
2,1,0.6666666666666666,0.75,4.083333333333329,8,0.75,0.625,0.5714285714285714,0.8571428571428571,"HOME"
3,0.01,0.7142857142857143,0.45454545454545453,5.5,-3.0909090909090935,0.75,0.375,0.3,0.75,"HOME"
1,2,0.5,0.5454545454545454,0.75,1,0.375,0.5,0.6,0.5,"VISITING"
1,2,0.8181818181818182,0.23076923076923078,7.63636363636364,-5.15384615384616,0.875,0.125,0.1111111111111111,0.8333333333333334,"HOME"
0.01,1,0.5,0.5714285714285714,0.3571428571428612,1.357142857142847,0.625,0.625,0.4444444444444444,1,"HOME"
0.01,0.01,0.21428571428571427,0.46153846153846156,-6,-3.538461538461533,0.375,0.5,0.3333333333333333,0.4,"HOME"
1,0.01,0.6153846153846154,0.43478260869565216,4.769230769230774,-4.91304347826086,0.625,0.375,0.2727272727272727,0.7142857142857143,"VISITING"
0.01,2,0,0.7857142857142857,-6.545454545454547,5.214285714285722,0,0.75,0.875,0,"VISITING"
1,0.01,0.21428571428571427,0.42857142857142855,-5.214285714285722,-2.785714285714292,0.125,0.375,0.16666666666666666,0.5,"VISITING"
2,1,0.5714285714285714,0.5,-1.2142857142857224,-0.7857142857142776,0.5,0.375,0.3333333333333333,0.5555555555555556,"HOME"
0.01,2,0.46153846153846156,0.21428571428571427,1.1538461538461462,-3.7142857142857224,0.5,0.25,0.125,0.5714285714285714,"HOME"
0.01,0.01,0.5,0.42857142857142855,4.071428571428569,-1,0.625,0.5,0.25,0.6666666666666666,"VISITING"
0.01,0.01,0.3076923076923077,0.4166666666666667,-4.84615384615384,-1.1666666666666572,0.25,0.25,0.3333333333333333,0.5,"VISITING"
1,0.01,0.6666666666666666,0.4583333333333333,3.083333333333343,-4.416666666666671,0.75,0.375,0.3333333333333333,0.6666666666666666,"HOME"
2,2,0.5714285714285714,0.6923076923076923,-0.7857142857142776,4.307692307692307,0.625,0.75,0.4,0.5714285714285714,"VISITING"
1,1,0.46153846153846156,0.4666666666666667,0.6153846153846132,-0.86666666666666,0.375,0.375,0.2857142857142857,0.42857142857142855,"HOME"
