"homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0.2857142857142857,0.7857142857142857,-8.42857142857143,9.714285714285708,0.25,0.875,0.6,0.6,"VISITING"
0.6,0.6,2,4.200000000000003,0.625,0.625,0.5,0.875,"HOME"
0.5,0.5384615384615384,5.5,1.0769230769230802,0.375,0.75,0.3333333333333333,0.75,"VISITING"
0.6666666666666666,0.23076923076923078,4.6000000000000085,-6.230769230769226,0.75,0.125,0.3333333333333333,0.875,"HOME"
0.15384615384615385,0.42857142857142855,-10.461538461538453,-1.7142857142857082,0,0.5,0.25,0.16666666666666666,"VISITING"
0.75,0.9285714285714286,4.75,12.07142857142857,0.75,1,0.8571428571428571,1,"HOME"
0.5,0.8666666666666667,1.2142857142857082,6.266666666666666,0.375,1,0.875,0.6666666666666666,"HOME"
0.35714285714285715,0.4,-1.3571428571428612,-5.666666666666657,0.25,0.25,0.16666666666666666,0.5,"HOME"
0.5,0.625,-0.625,2.125,0.5,0.625,0.2857142857142857,0.5714285714285714,"HOME"
0.35294117647058826,0.26666666666666666,-4.64705882352942,-8.600000000000009,0.25,0.125,0.1111111111111111,0.2857142857142857,"HOME"
0.6875,0.26666666666666666,6,-6.799999999999997,0.75,0.25,0.2222222222222222,0.7777777777777778,"HOME"
0.4375,0.14285714285714285,-3.9375,-10.285714285714278,0.375,0,0.14285714285714285,0.3333333333333333,"HOME"
0.5714285714285714,0.21428571428571427,1.5,-6.714285714285722,0.75,0.125,0.2857142857142857,0.7142857142857143,"HOME"
0.4,0.5,-1.9333333333333371,-2,0.5,0.625,0.2857142857142857,0.5,"VISITING"
0.7692307692307693,0.5625,4.846153846153854,3.6875,0.75,0.5,0.4444444444444444,1,"HOME"
0.9333333333333333,0.4666666666666667,10.86666666666666,-1.0666666666666629,0.875,0.625,0.3333333333333333,1,"HOME"
0.3076923076923077,0.6875,-3.7692307692307594,5.125,0.375,0.75,0.42857142857142855,0.375,"VISITING"
0.125,0.5333333333333333,-10.6875,2.066666666666663,0.25,0.375,0.375,0.2857142857142857,"VISITING"
0.42857142857142855,0.8,1,9.799999999999997,0.5,1,0.6666666666666666,0.42857142857142855,"VISITING"
0.4,0.8666666666666667,-0.5333333333333314,10.866666666666674,0.375,0.875,0.75,0.5555555555555556,"VISITING"
0.375,0.42857142857142855,-6,0.7142857142857082,0.25,0.375,0.16666666666666666,0.5555555555555556,"VISITING"
0.4375,0.5294117647058824,-2.25,-0.529411764705884,0.625,0.5,0.4444444444444444,0.6666666666666666,"HOME"
0.13333333333333333,0.3888888888888889,-10.666666666666671,-3.444444444444443,0,0.375,0.4,0.14285714285714285,"HOME"
0.5333333333333333,0.25,-1.933333333333323,-7.5625,0.625,0.125,0.2,0.42857142857142855,"VISITING"
0.25,0.5,-9.125,0.5,0.125,0.5,0.2222222222222222,0.5,"HOME"
0.5882352941176471,0.47058823529411764,1.941176470588232,4.764705882352942,0.625,0.25,0.25,0.8888888888888888,"VISITING"
0.875,0.7058823529411765,11.3125,6.764705882352942,0.875,0.875,0.5714285714285714,1,"VISITING"
0.5625,0.11764705882352941,2.625,-10.705882352941174,0.5,0.125,0,0.7142857142857143,"VISITING"
0.8125,0.47058823529411764,9.625,-2.764705882352942,1,0.375,0.5714285714285714,0.8888888888888888,"HOME"
0.4,0.6,0.46666666666665435,1.5333333333333314,0.375,0.75,0.42857142857142855,0.375,"VISITING"
0.375,0.35294117647058826,-2.0625,-6.588235294117652,0.375,0.125,0.14285714285714285,0.4444444444444444,"HOME"
0.2857142857142857,0.5294117647058824,-3.9285714285714306,3.411764705882348,0.375,0.375,0.4,0.3333333333333333,"VISITING"
0.7058823529411765,0.9375,5.176470588235304,11.4375,0.75,0.875,0.8571428571428571,0.8888888888888888,"VISITING"
